tweet,gender,age_group,extraversion,neuroticism,agreeableness,conscientiousness,openness
"@username Yeah I've been looking into similar things, like the stuff from @username. Not sure what I end up choosing yet.		",0,1,0.2,0.2,0.1,0.1,0.5
"@username Also, W8.1 apparently has regular calc, but also an appified version (as default) for added confusion and frustration.*sigh*		",0,1,0.2,0.2,0.1,0.1,0.5
"@username Definitely gonna give it a try. Seems to be the most feature rich one, and I love the price of free.		",0,1,0.2,0.2,0.1,0.1,0.5
@username Right now? I don't really know. There's no way to disable the metro bit (outside of 3rd party (cont) http://t.co/7zMcs94hQM		,0,1,0.2,0.2,0.1,0.1,0.5
@username Pix or it didn't happen. (Or linx)		,0,1,0.2,0.2,0.1,0.1,0.5
"@username Maybe they're taking the adage ""all publicity is good publicity"" a tad too literal?		",0,1,0.2,0.2,0.1,0.1,0.5
"@username @username Heh. I like how they call Forbes 'unprofessional'. It's only a century old business magazine, after all.		",0,1,0.2,0.2,0.1,0.1,0.5
"Well, #Dota2TI4 championship final was a bit of a letdown... Very one-sided, almost like the Brazil  #FIFA2014 matches earlier this month.		",0,1,0.2,0.2,0.1,0.1,0.5
@username How come NL/EU prices for businesses are so skewed? I almost understand $140 -> €140 But there's no way $400 should -> €540($727)		,0,1,0.2,0.2,0.1,0.1,0.5
Statistics! Colors! Games! Graphs! Numbers! Info! Money! Jerbs! Exclamation Marks! http://t.co/hveVXSCr9V #gamedev		,0,1,0.2,0.2,0.1,0.1,0.5
@username Ooh. Freddie Mercury! I loved his music in Neverending Story as well. But why is that Spiderman quote in there?		,0,1,0.2,0.2,0.1,0.1,0.5
@username Your bundle currently costs. ?€ I thought that was funny.		,0,1,0.2,0.2,0.1,0.1,0.5
"@username Remember when you mentioned RU-UA-EU war? It's already happening on kickstarter, according to Areal! http://t.co/Tqbsyc9eSC		",0,1,0.2,0.2,0.1,0.1,0.5
This is a good looking kickstarter! https://t.co/9EmXuUuNd2 Love the vid and the header gifs. (oh and the game itself looks interesting too)		,0,1,0.2,0.2,0.1,0.1,0.5
"I wouldn't hurt the proverbial fly, but those damn mosquitos... Just killed at least two dozen of the bitey fuckers.		",0,1,0.2,0.2,0.1,0.1,0.5
"@username With you being you, I'm not sure if that's ASAP or never.		",0,1,0.2,0.2,0.1,0.1,0.5
How come art software always has such a shitty GUI? I'd assume that designers would understand/appreciate usability.		,0,1,0.2,0.2,0.1,0.1,0.5
@username Will this work with the regular PC forum accounts or do we have to make new ones? Would be handy to have that integrated.		,0,1,0.2,0.2,0.1,0.1,0.5
"@username Gotta be honest here, these sprites feel kind of blurry and lacking detail. A downside of 3d, or maybe a render/filter issue?		",0,1,0.2,0.2,0.1,0.1,0.5
@username Can hardly wait for PC version X. What I've gathered there are a bunch of small visual tweaks and a lot of under-the-hood work.		,0,1,0.2,0.2,0.1,0.1,0.5
@username Yeah I know they're 2x. I scaled the image down to 50% first to check my gut. Does ingame have normals or something?		,0,1,0.2,0.2,0.1,0.1,0.5
"@username I just finished my last game for the day, this should be a nice way to unwind.		",0,1,0.2,0.2,0.1,0.1,0.5
"@username @username It really depends on the quality of the stuff, much like chocolate. Often I find they add too much powder, too.		",0,1,0.2,0.2,0.1,0.1,0.5
"I... Uh... what? Dafuq?
https://t.co/VT0eMJofYN		",0,1,0.2,0.2,0.1,0.1,0.5
@username Don't worry. You will be surgeried by only the most pro of fessionals. http://t.co/c8qaZNjW3L		,0,1,0.2,0.2,0.1,0.1,0.5
"@username How are the podcasts rubbish? Only thing edited for (the YT version of) that are the commercials, right?		",0,1,0.2,0.2,0.1,0.1,0.5
"@username I get the removal of streamed 'regular' music, I do. But background music from games? And beyond that, do you think that (1/2)		",0,1,0.2,0.2,0.1,0.1,0.5
"@username it should apply to games in general? (textures+models+etc=©, too) You generally say that streaming is a transformative art.		",0,1,0.2,0.2,0.1,0.1,0.5
"@username Technically, this is a mobile game. And I'm not sure I would call this 'playing'.		",0,1,0.2,0.2,0.1,0.1,0.5
"Yup, salticidae are definitely the bestest, coolest and most awesomest spiders.

https://t.co/Wr1elzCRf4		",0,1,0.2,0.2,0.1,0.1,0.5
"@username No. You'd be wasting far too much time debugging variables, when such a simple command is all you need.		",0,1,0.2,0.2,0.1,0.1,0.5
@username Ooh. Sanchez. I strongly approve of this.		,0,1,0.2,0.2,0.1,0.1,0.5
"@username @username @username I'm in that camp. Everyone* has a smartphone now, which makes it a true -personal- computer.		",0,1,0.2,0.2,0.1,0.1,0.5
@username @username The biggest problem with round robin is a lack of focus. Sports thrive on spectators. (semi)Finals get more views.		,0,1,0.2,0.2,0.1,0.1,0.5
"@username @username Says it right there ""? The Jester Race
A song by In Flames""		",0,1,0.2,0.2,0.1,0.1,0.5
"@username @username Given that you regularly do long takes, though, this one felt ""slighly off"". (j/k well done Zooc)		",0,1,0.2,0.2,0.1,0.1,0.5
@username Lamb allergy is a pretty lame allergy.		,0,1,0.2,0.2,0.1,0.1,0.5
"@username I think you're mixing up Gone Home and Dear Esther. Not many people argued Gone Home wasn't a game, just not a GOOD one.		",0,1,0.2,0.2,0.1,0.1,0.5
"@username I think you should do a combination. Good projects deserve love, but also one/sporadic supercut of bad to keep people warned.		",0,1,0.2,0.2,0.1,0.1,0.5
"@username It might work to have a few bad trailers at the start of each vid? Nope, nope, nope, this looks decent.		",0,1,0.2,0.2,0.1,0.1,0.5
@username @username @username Hurrah! You didn't call it the A/S/L challenge. +1 for knowing the actual charity's name.		,0,1,0.2,0.2,0.1,0.1,0.5
"@username @username Heck, look at people lighting up torches and pitchforks after spending just a few hundred dollars on a gaming box...		",0,1,0.2,0.2,0.1,0.1,0.5
@username AND DOLLA DOLLA BILLS YO. (also my shirt)		,0,1,0.2,0.2,0.1,0.1,0.5
@username @username http://t.co/LrtfFdiNqJ seems kind of relevant in this case too. From several perspectives.		,0,1,0.2,0.2,0.1,0.1,0.5
@username You're right on the first account. Many would argue about the 2nd; the nature of  debates is divisive. http://t.co/E4kkt588dH		,0,1,0.2,0.2,0.1,0.1,0.5
@username What's the crest for that?		,0,1,0.2,0.2,0.1,0.1,0.5
"@username That actually seems interesting data, yeah. I wonder if there's some kind of metrics script for that.		",0,1,0.2,0.2,0.1,0.1,0.5
Using your phone can be dangerous even if you're not driving. Sorry mr snail...		,0,1,0.2,0.2,0.1,0.1,0.5
"@username Liking youtubers isn't a problem either. Which leaves ""harassing"" as the only issue.		",0,1,0.2,0.2,0.1,0.1,0.5
@username Threat? Or... treat?		,0,1,0.2,0.2,0.1,0.1,0.5
"Simple yet clear marking of gluten/lactose/vegetarian/etc foods. Good on you, Germany. http://t.co/W62Wy4yIyr		",0,1,0.2,0.2,0.1,0.1,0.5
"@username I know, right. You're actually complain about framerates and texture quality most of the time.		",0,1,0.2,0.2,0.1,0.1,0.5
"@username For me, personally, it's like a TV show. I can relax to it because it's more passive than articles, yet is not supershort.		",0,1,0.2,0.2,0.1,0.1,0.5
@username @username Quite an innovative new 'exclusive' system; just exclude yourself from a lot of games.Wonder where this will go?		,0,1,0.2,0.2,0.1,0.1,0.5
"@username @username You mean ""asshole"" culture, within the gaming and internet audience, right? I'm pretty sure that's what you mean.		",0,1,0.2,0.2,0.1,0.1,0.5
"@username @username @username Should the flooding work that way? Don't you need 2 holes; one for water in, one for air out?		",0,1,0.2,0.2,0.1,0.1,0.5
@username Dual monocles and tophat for maximum gentlemanliness.		,0,1,0.2,0.2,0.1,0.1,0.5
"@username Jim, try Monster Rehab. It's not nearly as sugary as regular (about 25%) but it doesn't taste like deat-... I mean sweeteners.		",0,1,0.2,0.2,0.1,0.1,0.5
"@username @username Unless your licence gets voided, in which case you pay €35 AND €70. Personally, I just wait for price drops.		",0,1,0.2,0.2,0.1,0.1,0.5
@username @username And what if it gets voided before you managed to install/play?		,0,1,0.2,0.2,0.1,0.1,0.5
"@username @username It was a hypothetical. Hence why he says ""at your own risk"". It might work fine, it might cost you.		",0,1,0.2,0.2,0.1,0.1,0.5
"@username Definitely think that you do 3 can stop early. A game has max 20 minutes, if it impresses you sooner, good on it.		",0,1,0.2,0.2,0.1,0.1,0.5
"@username @username Ooh, this is pretty. Any info on how it's done? Looks like uprezzed render, sure, but any special texture approach?		",0,1,0.2,0.2,0.1,0.1,0.5
"@username What, you're able to not hate someone you disagree with? Is this some kind of magic? Are you a wizerds?		",0,1,0.2,0.2,0.1,0.1,0.5
@username @username It is rather uncanny... http://t.co/EzJMUWrtS0		,0,1,0.2,0.2,0.1,0.1,0.5
Just binge-read the entirety of @username's comic. It's gooood. http://t.co/jVOCCOc5fp		,0,1,0.2,0.2,0.1,0.1,0.5
"@username @username With 300+ employees, they're well past the 'Dunbar number'; a group of ~150 is what our human brains can manage.		",0,1,0.2,0.2,0.1,0.1,0.5
"Didn't know I, a European, could send emails about net neutrality to US Gov. EUROPEANS UNITE! http://t.co/iJssKlF3rJ http://t.co/11MWt6BLo7		",0,1,0.2,0.2,0.1,0.1,0.5
"@username I've always likened Dear Esther to a book or movie. You can press play/pause, but you don't really have any agency.		",0,1,0.2,0.2,0.1,0.1,0.5
"@username Personally, I'd love physical media as an option, if it were JUST that. But most games nowadays are just a DVD + steam code.		",0,1,0.2,0.2,0.1,0.1,0.5
@username Next bundle? http://t.co/OJ7iOFedwb		,0,1,0.2,0.2,0.1,0.1,0.5
@username you have your own NPC and you're giving out games? CONSPIRACYYY!!!!		,0,1,0.2,0.2,0.1,0.1,0.5
"@username @username @username He's an author at Destructoid. He IS games media.

Conrad, thanks for making the distinction.		",0,1,0.2,0.2,0.1,0.1,0.5
@username is straightening my hair #sisters		,1,1,0.2,-0.3,0.2,0.3,0.2
Selling my car and never driving again #accidents		,1,1,0.2,-0.3,0.2,0.3,0.2
All white outfit after Labor Day? Not sorry about it. #initiation2011 #zetalove		,1,1,0.2,-0.3,0.2,0.3,0.2
"@username I ain't mad I just haven't checked Twitter all night! And you're right, I ate with a fucking bib #hatewhites		",1,1,0.2,-0.3,0.2,0.3,0.2
I can be brown I can be blue I can be violet sky. I can be hurtful I can be purple I can be anything you like		,1,1,0.2,-0.3,0.2,0.3,0.2
@username I try to be like Grace Kelly! Mmm but her looks were too sad ahhh so I try a little Freddie mmm I've gone identity mad!		,1,1,0.2,-0.3,0.2,0.3,0.2
"So this is what karma feels like...I steal internet for 3 months, I lose internet connection on the busiest days of my week #stuckinteamroom		",1,1,0.2,-0.3,0.2,0.3,0.2
@username @username DO IT DO IT DO IT COME COME COME COME COMMMEEEE!!!!!!		,1,1,0.2,-0.3,0.2,0.3,0.2
"""There's only Children of the Corn 7"" #movienight		",1,1,0.2,-0.3,0.2,0.3,0.2
Getting everything DONE today and it's putting me in the best mood EVER #aheadonhomework #willrockspanish #whatupspeech :)		,1,1,0.2,-0.3,0.2,0.3,0.2
Who needs Rex Burkhead when you have @username ? http://t.co/KVyJIHG		,1,1,0.2,-0.3,0.2,0.3,0.2
#ihate flaky professors.		,1,1,0.2,-0.3,0.2,0.3,0.2
Just realized that I have absolutely nothing to do today #WHOA #bestfeelingeverr		,1,1,0.2,-0.3,0.2,0.3,0.2
One-fourth of my refrigerator is cheese		,1,1,0.2,-0.3,0.2,0.3,0.2
"Oh hey, Kansas City. Are you ready for us? #QUADreunited :) :) :)		",1,1,0.2,-0.3,0.2,0.3,0.2
My very first Betsey Johnson boutique visit was completely ruined by the. most. annoying. sales. person. EVER. #stillgotcutestuffthough		,1,1,0.2,-0.3,0.2,0.3,0.2
#thatawkwardmoment when you realize you didn't put deodorant on today.... and you can't go home		,1,1,0.2,-0.3,0.2,0.3,0.2
I almost cried http://t.co/qSYDBPC #hopelessromantic		,1,1,0.2,-0.3,0.2,0.3,0.2
I have soooo much wireless internet all up in mah house #payingforinternet #ethical		,1,1,0.2,-0.3,0.2,0.3,0.2
Dead bug in the motel hair dryer. #super8		,1,1,0.2,-0.3,0.2,0.3,0.2
Just bought an obscene amount of bread. #onlythingicaneat #carboverload		,1,1,0.2,-0.3,0.2,0.3,0.2
Gotta wash so many tears and so much snot from my hair #bawlingtoddlers  #sickbabies #roughday		,1,1,0.2,-0.3,0.2,0.3,0.2
New Girl is so awesome		,1,1,0.2,-0.3,0.2,0.3,0.2
In the best mood I've been in all week. Time to run off some happy energy before I find myself in a gigglefit for the rest of the night :)		,1,1,0.2,-0.3,0.2,0.3,0.2
"Kinda sweaty from the intense wine-opening, upper-body workout #worthit		",1,1,0.2,-0.3,0.2,0.3,0.2
Ultimate high school throwback: Writing a report in two hours... on a book I've never read #bsactivate		,1,1,0.2,-0.3,0.2,0.3,0.2
Would I call this a success? umm sure. #jimmysleepingonmyfloor #okgoodnightitired		,1,1,0.2,-0.3,0.2,0.3,0.2
Its so hard getting into tournament mode when we don't have to travel for 3+ hours #tryingtogetpumped #donut		,1,1,0.2,-0.3,0.2,0.3,0.2
@username Nickelback ruins everything that is good		,1,1,0.2,-0.3,0.2,0.3,0.2
Just took my temperature with a Spongebob thermometer #BALLIN		,1,1,0.2,-0.3,0.2,0.3,0.2
I just hung out with so many homos. And I'm dressed as a kitty cat #supagayparty #sleepytweet		,1,1,0.2,-0.3,0.2,0.3,0.2
that was stupid. #anticlimactic		,1,1,0.2,-0.3,0.2,0.3,0.2
"Classic halloween: hung out with family, carved a pumpkin, and gave candy to trick-or-treaters #perfect :)		",1,1,0.2,-0.3,0.2,0.3,0.2
@username you'd better have a jaw-dropping costume to make up for your age! :)		,1,1,0.2,-0.3,0.2,0.3,0.2
@username I was actually hoping you were going to dress up like something along the lines of a unicorn....		,1,1,0.2,-0.3,0.2,0.3,0.2
@username or a princess. I'm into cutesy Halloween costumes. This year I was a kitty cat and an angel :)		,1,1,0.2,-0.3,0.2,0.3,0.2
@username dress up as t-swift!! :)		,1,1,0.2,-0.3,0.2,0.3,0.2
Classic Halloween made even more perfect. Scary movie with @username :)		,1,1,0.2,-0.3,0.2,0.3,0.2
I just watched a bunch of videos that members of my speech team obnoxiously posted on my wall over winter break last year #manilovemyteam		,1,1,0.2,-0.3,0.2,0.3,0.2
Racist comments in class #omg		,1,1,0.2,-0.3,0.2,0.3,0.2
eff mah life #completelyexhausted		,1,1,0.2,-0.3,0.2,0.3,0.2
#UUUUHHHHHHHHH i like it like that keep workin that back i dunno how to act slow motion for meh		,1,1,0.2,-0.3,0.2,0.3,0.2
@username It came on the radio earlier tonight and I totally thought of you!! It's our song bahaha :)		,1,1,0.2,-0.3,0.2,0.3,0.2
I take back every complaint about wanting the weather to get chilly #psycoweather #helloumbrella		,1,1,0.2,-0.3,0.2,0.3,0.2
"""Altruism: the way to get behind in life"" -@username		",1,1,0.2,-0.3,0.2,0.3,0.2
"@username Follow me, bitch! Please?		",1,1,0.2,-0.3,0.2,0.3,0.2
Why is my room SO FREAKING COLD?!! #nevergettingoutofbed		,1,1,0.2,-0.3,0.2,0.3,0.2
@username don't call yourself old!! Think of yourself as outdated or as an antique :)		,1,1,0.2,-0.3,0.2,0.3,0.2
"Starting my morning off right by watching B's ""Countdown"" on repeat. #pumped #getatmegoodday		",1,1,0.2,-0.3,0.2,0.3,0.2
Hour and a half extemp coaching with Duncan= I know EVERYHING		,1,1,0.2,-0.3,0.2,0.3,0.2
Brown water came out of the shower when I turned it on. And I dried my hair using the room heater... #EconoLodge		,1,1,0.2,-0.3,0.2,0.3,0.2
I hate playing Egyptian Rat Screw with @username and @username.		,1,1,0.2,-0.3,0.2,0.3,0.2
45 minute shower. #ilovebeinghome		,1,1,0.2,-0.3,0.2,0.3,0.2
I CAN'T TO HOMEWORK WHEN @username IS MAKING ME LOOK AT ADORABLE ANIMALS ON ATTACK OF THE CUTE		,1,1,0.2,-0.3,0.2,0.3,0.2
"""Once upon a time I had a bird but my muther killd it becus she did not feed it till it tolked"" @username		",1,1,0.2,-0.3,0.2,0.3,0.2
@username you could cuddle with me instead :)		,1,1,0.2,-0.3,0.2,0.3,0.2
Actually had a good day at Ruth Staples :) #startingtolovethosekiddos @username :)		,1,1,0.2,-0.3,0.2,0.3,0.2
omg Constance Buttons........................................		,1,1,0.2,-0.3,0.2,0.3,0.2
"I would like to fast forward to two years from now. Btw, @username is a BITCH of a roommate, #fml #makefriendswithtoastnotpeople		",1,1,0.2,-0.3,0.2,0.3,0.2
"@username @username Coincidentally, we already have a sitcom, a reality tv show, and a morning talk show in the works		",1,1,0.2,-0.3,0.2,0.3,0.2
"@username @username Their names, respectively: Uncomfortable. The Real Housewives of Our Living Room. And Colson/Schaal Korner.		",1,1,0.2,-0.3,0.2,0.3,0.2
@username @username Working on it. Which one you like best?		,1,1,0.2,-0.3,0.2,0.3,0.2
"Impromptu-ed speeches about ancient Egypt, rainbows, and Runza+ ""loading"" hand gesture @username @username  #extemplove :)		",1,1,0.2,-0.3,0.2,0.3,0.2
Get me out of this overly crowded Starbucks #claustrophobia		,1,1,0.2,-0.3,0.2,0.3,0.2
"There's girl talking on the phone in Ukraine on my right and a Mexican lady explaining to her son in Spanish how to spell ""sillas"" #Heaven		",1,1,0.2,-0.3,0.2,0.3,0.2
Where is everyone?		,1,1,0.2,-0.3,0.2,0.3,0.2
I feel asleep to NPR around 10 o'clock. #oldlady		,1,1,0.2,-0.3,0.2,0.3,0.2
Really enjoying the male barista's habit of singing Phantom and Regina randomly. Oh did I mention I live at Starbucks now? #mylife		,1,1,0.2,-0.3,0.2,0.3,0.2
CA model= headache :(		,1,1,0.2,-0.3,0.2,0.3,0.2
@username haha what?		,1,1,0.2,-0.3,0.2,0.3,0.2
@username is the best. So was ice skating #teamlove :)		,1,1,0.2,-0.3,0.2,0.3,0.2
Calm and content. But mostly calm :) http://t.co/4zPwcZR		,1,1,0.2,-0.3,0.2,0.3,0.2
"@username I just saw the trailer for ""Like Crazy""... GAAAHHH!!! Can I see it with you?! It looks amazing!!		",1,1,0.2,-0.3,0.2,0.3,0.2
"Nothing clears my mind more than running. Before making any major decisions, I now know to run at least 2 miles. #cool #calm #collected		",1,1,0.2,-0.3,0.2,0.3,0.2
Wishing @username would wake up so we can get Starbucks before leading IFT		,1,1,0.2,-0.3,0.2,0.3,0.2
Missing my toddlers right now. #canthandleadults #wanttobeworking		,1,1,0.2,-0.3,0.2,0.3,0.2
@username Definitely a high point.. twitter high-five for Captain Planet!		,1,1,0.2,-0.3,0.2,0.3,0.2
"Sorry I make you hate me, UNL Parking and Transit Services #freeparking		",1,1,0.2,-0.3,0.2,0.3,0.2
@username Hahaha I was so confused/ prepared to take you out for ice cream :)		,1,1,0.2,-0.3,0.2,0.3,0.2
Q time with @username @username @username Oh yeah baby :)		,1,1,0.2,-0.3,0.2,0.3,0.2
Today is just one of those days that I love my life :) #8hoursatthedaycare #amazingweek		,1,1,0.2,-0.3,0.2,0.3,0.2
In such an 80's movie mood. Inspired by http://t.co/x6XBXS6		,1,1,0.2,-0.3,0.2,0.3,0.2
@username is such a bad influence. But I like it.		,1,1,0.2,-0.3,0.2,0.3,0.2
Celebrating my dad's birthday today! #happybdaydad #homaha #gottagetapresent		,1,1,0.2,-0.3,0.2,0.3,0.2
Family+ steak and potatoes+ wine+ playing with Lola= awesome day so far :)		,1,1,0.2,-0.3,0.2,0.3,0.2
please stop. #uncomfortable		,1,1,0.2,-0.3,0.2,0.3,0.2
An AWESOME weekend= scrambling to finish homework on Monday morning #oops		,1,1,0.2,-0.3,0.2,0.3,0.2
@username @username DICK MOVE.		,1,1,0.2,-0.3,0.2,0.3,0.2
@username I was going to offer mine but then I remembered that you got on my FaceBook today...		,1,1,0.2,-0.3,0.2,0.3,0.2
I honestly believe that persuade is making me physically sick #headpounding #gunnavomitfromfrustration		,1,1,0.2,-0.3,0.2,0.3,0.2
He's single. He's handsome. He's cool to the max! Interested? Write to Max  Tyler at 10 Surf St. Venice #BillboardDad @username		,1,1,0.2,-0.3,0.2,0.3,0.2
So tempted to wear sweatpants in public today. Sooooooo tteeemmmpppttteeddddddd		,1,1,0.2,-0.3,0.2,0.3,0.2
Tuck is sleeping instead of coaching me		,1,1,0.2,-0.3,0.2,0.3,0.2
I love bonding with @username over pancakes and @username paying for our late night snack!! #bestnight :)		,1,1,0.2,-0.3,0.2,0.3,0.2
@username should've been cast in The Blair Witch Project		,1,1,0.2,-0.3,0.2,0.3,0.2
"""You know dem boys? Dem boys with the crazy hair in speedos? That's me."" -Uncle Ron #familythanksgiving		",1,1,0.2,-0.3,0.2,0.3,0.2
"""Now Kelsie, those Spanish boys will cling onto you, but don't bring home any."" -Aunt Connie #advice #familythanksgiving		",1,1,0.2,-0.3,0.2,0.3,0.2
"""How is Twilight predictable? The vampires don't burn in the sun, they sparkle like diamonds. WHAT UP?"" -Cousin Carrie #familythanksgiving		",1,1,0.2,-0.3,0.2,0.3,0.2
"I'm thankful for such an entertaining, hilarious, obnoxious and amazing family :)		",1,1,0.2,-0.3,0.2,0.3,0.2
@username things between us are going to be awkward now.		,1,1,0.2,-0.3,0.2,0.3,0.2
@username @username @username @username  #IfMyNameWas YashChopra i'd name lead as Abhinav instead of Rahul or Raj in my films... xD		,0,0,0.1,0.2,0.1,0.1,0.1
@username @username @username #IfMyNameWas @username i'd catch ol #pokemon n hv won all battles n batch. http://t.co/Zk6EePv2V7		,0,0,0.1,0.2,0.1,0.1,0.1
Connect with me on Myspace. https://t.co/RdQIfA5lAN		,0,0,0.1,0.2,0.1,0.1,0.1
@username @username @username @username #IfMyNameWas @username i'd make teaching java and taking exams illegal in college.		,0,0,0.1,0.2,0.1,0.1,0.1
"#IfMyNameWas alla-ud-din khilji, i'd spare #Nalanda n burn all #engineering_college and #university in #Bangalore(on sunday..) #noMoreExams		",0,0,0.1,0.2,0.1,0.1,0.1
@username @username when we are gonna have result and winner???		,0,0,0.1,0.2,0.1,0.1,0.1
"@username #IfMyNameWas yash chopra @username , i'd change lead name to Abhinav from #Rahul or #Raj in all my movies		",0,0,0.1,0.2,0.1,0.1,0.1
@username aye hero!! topper  kidher h?		,0,0,0.1,0.2,0.1,0.1,0.1
@username @username @username @username atleast dont tag Mr @username is nonexistant here.he is just inventor of java		,0,0,0.1,0.2,0.1,0.1,0.1
@username hey its my bday  this weekend.. whts my gift?? xD		,0,0,0.1,0.2,0.1,0.1,0.1
@username hey! is it required to work on FB as well of ifmynamewas ??		,0,0,0.1,0.2,0.1,0.1,0.1
"someone plzz utha lo meri java wali psycho ma'am koo.. she is such a pain in ass

bahut sari dua milegi...		",0,0,0.1,0.2,0.1,0.1,0.1
"#IfMyNameWas George w Bush,i'd punish all college teachers and give students some freedom #iraq2006 #proff_Sucks @username @username xD		",0,0,0.1,0.2,0.1,0.1,0.1
"@username @username @username @username if my name was twitter , i'd block tweets from Bombay -Pune , and flood abhinav raj's tweet		",0,0,0.1,0.2,0.1,0.1,0.1
"@username @username @username @username  #IfMyNameWas VIjay Malya , i'd never put 14cr on Yuvraj Singh #ipl #RCB		",0,0,0.1,0.2,0.1,0.1,0.1
I'm backing #Raina in the @username #playerbattles. Vote for your choice now http://t.co/aVo23md36z #PepsiIPL		,0,0,0.1,0.2,0.1,0.1,0.1
"@username @username @username @username yes,, shayad... ask for the prizes now  we won the stage 1 :D ;)		",0,0,0.1,0.2,0.1,0.1,0.1
"BADGES! I just unlocked the Outside BAD. Website GOOD. badge on @username, a rewards program for devs. http://t.co/ZEc7f5RIgp		",0,0,0.1,0.2,0.1,0.1,0.1
@username i did before 12 am only.. its some problem woth FK i guess .. i ahve already mailed FK ans MSDev about the issue in detail		,0,0,0.1,0.2,0.1,0.1,0.1
#IfMyNameWas @username i'd declare @username as winner		,0,0,0.1,0.2,0.1,0.1,0.1
"According to my girlfriend,,
  She is Ideal
    Her parents are Idol
     I am Idle		",0,0,0.1,0.2,0.1,0.1,0.1
"@username @username @username @username @username @username @username @username whts this? idk,its my bday  gimme this		",0,0,0.1,0.2,0.1,0.1,0.1
"@username @username @username @username @username @username @username @username keem calm and vote for ""L""		",0,0,0.1,0.2,0.1,0.1,0.1
